id,name,popularity,duration_ms,explicit,album_id,album_name,artist_id,artist_name,danceability,energy
0zirWZTcXBBwGsevrsIpvT,Clean Baby Sleep White Noise (Loopable),93,142222,False,0NGHR9zjS5eFFlqtClA9VV,Best White Noise For Sleeping Baby,6Cqtx9fpxzggIMuKn0RGCp,Dream Supplier,0.0,0.00832
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,89,164571,False,4qVzNqB4cskFInYfrC7P0S,Shut up My Moms Calling,35WVTyRnKAoaGExqgktVyb,Hotel Ugly,0.485,0.409
2J6OF7CkpdQGSfm1wdclqn,Clouded,86,110128,True,3vi20DRHkqv4HyVg9Rt9wC,Fuck The World,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,0.583,0.344
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,87,193591,True,6wTyGUWGCilBFZ837k5aRi,SAVAGE MODE II,1URnnhqYAYcrqrcwql10ft,21 Savage,0.847,0.733
4R2kfaDFhslZEMJqAFNpdd,cardigan,90,239560,False,2fenSS68JI1h4Fo296JfGr,folklore,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.613,0.581
0f8eRy9A0n6zXpKSHSCAEp,Infrunami,85,178328,False,6m5qlaMzLtNsQDj3DQY5ji,The Lo-Fis,57vWImR43h4CaDao012Ofp,Steve Lacy,0.826,0.299
3hUxzQpSfdDqwM3ZTFQY0K,august,91,261922,False,2fenSS68JI1h4Fo296JfGr,folklore,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.532,0.623
2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,83,213493,False,0sOeI7pbAmIc8aDFyvkBUW,Starting Over,4YLtscXsxbVgi031ovDDdh,Chris Stapleton,0.602,0.477
2QfX9Pdz3q66fN3kCXl0Js,Revival,82,221250,False,3TkSm0esbUBPygKvMrwWQn,Elisabeth,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,0.464,0.366
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,90,238805,False,5bfpRtBW7RNRdsm3tRyl3R,Dreamland,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,0.761,0.525
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,91,200040,False,4yP0hdKOZPNshxUOjY0cZj,After Hours,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,0.514,0.73
5SWnsxjhdcEDc7LJjq9UHk,Runnin,84,195906,True,6wTyGUWGCilBFZ837k5aRi,SAVAGE MODE II,1URnnhqYAYcrqrcwql10ft,21 Savage,0.819,0.626
30QR0ndUdiiMQMA9g1PGCm,"...And to Those I Love, Thanks for Sticking Around",83,168489,True,7rKmLxCFlmtIxGpX4HYgs4,Stop Staring At the Shadows,1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,0.792,0.511
29TPjc8wxfz4XMn21O7VsZ,Sky,85,193234,True,2QRedhP5RmKJiJ1i8VgDGR,Whole Lotta Red,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,0.785,0.903
5PvVkf1Yuq3XyMqqjPiKPd,Been Away,83,223629,True,3vi20DRHkqv4HyVg9Rt9wC,Fuck The World,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,0.602,0.5
7fEoXCZTZFosUFvFQg1BmW,Took Her To The O,82,196179,True,1ZRAeQ6zsPJ5W1K3DvpRpP,Levon James,6QtgPSJPSzcnn7dPZ4VINp,King Von,0.82,0.592
1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,83,132832,True,39xhYyNNDatQtgKw2KdXMz,THE GOAT,6AgTAQt8XS6jRWi4sX7w49,Polo G,0.832,0.534
3ruoIF2UnoXdzK8mR61ebq,Rich Nigga Shit (feat. Young Thug),83,190331,True,6wTyGUWGCilBFZ837k5aRi,SAVAGE MODE II,1URnnhqYAYcrqrcwql10ft,21 Savage,0.825,0.733
7s5VQqrjBtrBgZL4pEa46S,Romantic Lover,85,86739,False,04uOXDWUgZmTps35RqDBg4,Let's Skip to the Wedding,3XxNRirzbjfLdDli06zMaB,Eyedress,0.658,0.447
3FU6urUVsgXa6RBuV2PdRk,Heartless (feat. Morgan Wallen),80,169226,True,2Om5VEKaBd4Afht33ToQGD,Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil,5fMUXHkw8R8eOP2RNVYEZX,Diplo,0.765,0.556
4xqrdfXkTW4T0RauPLv3WA,Heather,88,198040,False,2CMlkzFI2oDAy5MbyV7OV5,Kid Krow,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,0.357,0.425
6tDDoYIxWvMLTdKpjFkc1B,telepatía,85,160191,False,00wSTrFxoSzA7eeS1UxHgd,Sin Miedo (del Amor y Otros Demonios) ∞,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,0.653,0.524
3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,82,127921,True,5iUwaD3wFVwfaAfs9Z0eCh,BEST INTEREST,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",0.596,0.575
2xB46Bj9HZ4cr058yN4Pla,Secrets,80,133331,True,4v0IxMbMN975IfxFHzgK9d,Artist 2.0 (Deluxe),31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,0.539,0.648
0HTIrbUwwFn984RzVZm5Fk,Yale,81,106536,True,33afeafKvnHqT7p2lYgdhd,Teen X,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,0.728,0.442
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),85,210800,True,4otkd9As6YaxxEkIjXPiZ6,Music To Be Murdered By,7dGJo4pcD2V6oG8kP0tJRR,Eminem,0.808,0.745
6J2LdBN97cDWn0MLxYh9HB,July,83,156106,False,5Gn3fFzlWL89j0hGumtXb5,THE END OF EVERYTHING,55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,0.708,0.186
5m0yZ33oOy0yYBtdTXuxQe,Low Down,80,144651,True,6uhEg4ASZYLIilZFCBFy1r,My Turn (Deluxe),5f7VJjfbwm532GiveGC0ZK,Lil Baby,0.962,0.619
45bE4HXI0AwGZXfZtMp8JR,you broke me first,86,169265,True,1RWiRfdNZKDe8VXzzf2VEc,you broke me first,45dkTj5sMRSjrmBSBeiHym,Tate McRae,0.667,0.373
5hM5arv9KDbCHS0k9uqwjr,Borderline,83,237800,False,31qVWUdRrlb8thMvts0yYL,The Slow Rush,5INjqkS1o8h1imAzPqGZBb,Tame Impala,0.621,0.873
0sY6ZUTh4yoctD8VIXz339,champagne problems,83,244000,True,2Xoteh7uEpea4TohMxjtaq,evermore,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.462,0.24
6M0EP76qW9TG4SNU0agu94,Uuuu,80,90708,False,6m5qlaMzLtNsQDj3DQY5ji,The Lo-Fis,57vWImR43h4CaDao012Ofp,Steve Lacy,0.947,0.616
5QO79kh1waicV47BqGRL3g,Save Your Tears,88,215626,True,4yP0hdKOZPNshxUOjY0cZj,After Hours,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,0.68,0.826
3K07bGe8iljQ3mOKArHLDo,Starting Over,78,240413,False,0sOeI7pbAmIc8aDFyvkBUW,Starting Over,4YLtscXsxbVgi031ovDDdh,Chris Stapleton,0.638,0.538
3xQq3mpD6hunD2XG7FXHHu,That Just Isn't Empirically Possible,78,123902,True,7rKmLxCFlmtIxGpX4HYgs4,Stop Staring At the Shadows,1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,0.76,0.875
6IBcOGPsniK3Pso1wHIhew,Forever After All,79,232533,False,25TJxI6ZH6XjT8geRQAFz5,What You See Ain't Always What You Get (Deluxe Edition),718COspgdWOnwOFpJHRZHS,Luke Combs,0.487,0.65
1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,82,255893,False,2fenSS68JI1h4Fo296JfGr,folklore,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.456,0.263
4PklAHGXT5ityno3IA8SKd,Go Stupid,79,165726,True,39xhYyNNDatQtgKw2KdXMz,THE GOAT,6AgTAQt8XS6jRWi4sX7w49,Polo G,0.92,0.833
4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),82,220487,True,6OQ9gBfg5EXeNAEwGSs6jK,Dark Lane Demo Tapes,3TVXtAsR1Inumwj472S9r4,Drake,0.735,0.449
6bnF93Rx87YqUBLSgjiMU8,Heartless,84,198266,True,4yP0hdKOZPNshxUOjY0cZj,After Hours,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,0.537,0.746
0Jlcvv8IykzHaSmj49uNW8,the 1,82,210251,True,2fenSS68JI1h4Fo296JfGr,folklore,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.777,0.357
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),83,285634,False,2fenSS68JI1h4Fo296JfGr,folklore,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.298,0.38
2WxUIiq06XXPYWl9YcRJnD,Our Time,81,98413,True,389zGArsMlwuPorS4Cw7IX,Virgo World,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,0.895,0.439
6Kj17Afjo1OKJYpf5VzCeo,Pain 1993 (with Playboi Carti),80,149077,True,6OQ9gBfg5EXeNAEwGSs6jK,Dark Lane Demo Tapes,3TVXtAsR1Inumwj472S9r4,Drake,0.825,0.373
1ipSpQfzBbhPFhYm6tfVIz,Mr. Glock,76,146880,True,12GZ5ewBjyylguigbdmqJ9,Yellow Tape,0RESbWvOMyua0yuyVrztJ5,Key Glock,0.804,0.946
4SFknyjLcyTLJFPKD2m96o,How You Like That,84,182956,False,71O60S5gIJSIAhdnrDIh3N,THE ALBUM,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,0.812,0.761
7AzlLxHn24DxjgQX73F9fU,No Idea,82,154424,False,7z4GhRfLqfSkqrj5F3Yt2B,Heaven Or Hell,4Gso3d4CscCijv0lmajZWs,Don Toliver,0.652,0.631
2U5WueTLIK5WJLD7mvDODv,Wishing Well,80,194621,True,6n9DKpOxwifT5hOXtgLZSL,Legends Never Die,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,0.65,0.613
7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho,86,187436,False,26c7MmQ4w8EAvVLb4jilaM,Heaven & Hell,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,0.72,0.706
0zWbYGQq5O1KQd0iqzgjP6,Rehab (Winter In Paris),78,180303,True,3vi20DRHkqv4HyVg9Rt9wC,Fuck The World,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,0.549,0.242
